dataset,rank,textrank_score,domain,keywords,text_preview
KMMLU-Redux,11,0.008896,환경.에너지,"하다, 수소, 저장, 용량, 이용, 소화, 물질, 사용, 가솔린, 천연가스","액상 유기화합물을 사용하여 수소를 저장하는 방법에 관한 내용으로 옳지 않은 것은? 수소는 가솔린, 천연가스에 비해 에너지 밀도가 낮기 때문에 대용량 이용보다 소용량 이용에 적합하다. 수소화, 탈수소화 반응 등을 통해..."
KMMLU-Redux,12,0.008534,화학,"하다, 조치, 물, 가하다, 희다, 과염소산, 유기화합물, 보호, 저장, 독성",실험실에서 유해 화학물질에 대한 안전 조치로 틀린 것은? 산은 물에 가하면서 희석한다. 과염소산은 유기화합물을 보호액으로 하여 저장한다. 독성 물질을 취급할 때는 체내에 들어가는 것을 막는 조치를 취한다. 강산과 강...
KMMLU-Redux,13,0.008205,기계,"하다, 증기, 주관, 법, 환수, 배관, 지관, 분기, 팽창, 고려",증기난방 배관 시공법에 대한 설명으로 틀린 것은? 증기주관에서 지관을 분기하는 경우 관의 팽창을 고려하여 스위블 이음법으로 한다. 진공환수식 배관의 증기주관은 1/100~1/200 선상향 구배로 한다. 주형방열기는 ...
KMMLU-Redux,14,0.008127,재료,"하다, 방식, 실시, 내식성, 강하다, 재료, 수압, 차이, 최소, 되다",캐비테이션 부식(Cavitation Corrosion)의 방지법으로 틀린 것은? 양극방식을 실시한다. 내식성이 강한 재료를 선택한다. 수압의 차이가 최소가 되도록 설계한다. 고무나 플라스틱 등으로 금속 부분을 피복한...
KMMLU-Redux,15,0.007973,안전관리,"하다, 보수, 재검사, 용접, 부분, 검사, 지시, 동일, 방법, 예리하다","압력용기 용접부에 대한 침투탐상검사의 설명으로 잘못된 것은? 무관련지시는 동일 방법으로 재검사한다. 용접보수 후 예리한 노치, 갈라진 곳 또는 모서리 부분이 생기지 않도록 보수부분 주위를 매끄럽게 가공한다. 용접보수..."
KMMLU-Pro,1,0.008654,민법,"하다, 되다, 사정, 계약, 원칙, 보증인, 예상, 범위, 반하다, 위임",신의칙과 권리남용에 관한 다음 설명 중 가장 옳지 않은 것은? (다툼이 있는 경우 대법원 판례에 따르고 전원합의체 판결의 경우 다수의견에 의함.) 계속적 보증계약에서 보증인은 변제기에 있는 주채무 전액에 대하여 책임...
KMMLU-Pro,2,0.008021,상법,"하다, 회사, 소멸시효, 않다, 기존, 채무, 자신, 영업, 물품, 미치다",소멸시효에 관한 설명 중 가장 옳지 않은 것은? (다툼이 있는 경우 대법원 판례에 따르고 전원합의체 판결의 경우 다수의견에 의함. 특별한 언급이 없다면 각 지문의 회사는 자본금 총액이 10억 원 이상인 비상장 주식회...
KMMLU-Pro,3,0.007925,의학각론,"참다, 혈소판, 전달효소, 시간, 개월, dl, mm, 적혈구, 아미노기, 트롬",10개월 남아가 1일 전 예방접종 후에 접종 부위가 부어올라 덩이처럼 만져진다고 병원에 왔다. 생후 2개월에 담도폐쇄증 으로 카사이수술을 받았다고 한다. 혈액검사 결과는 다음과 같다. 원인은? 혈색소 10.5 g/d...
KMMLU-Pro,4,0.007904,민법,"하다, 되다, 채권자, 소비대차, 계약, 채무, 소유권, 이전, 반환, 등기","소비대차, 준소비대차에 관한 다음 설명 중 가장 옳지 않은 것은? (다툼이 있는 경우 대법원 판례에 따르고 전원합의체 판결의 경우 다수의견에 의함.) 준소비대차계약이 성립하려면 당사자 사이에 금전 기타의 대체물의 급..."
KMMLU-Pro,5,0.007796,의학각론,"하다, 장염, 구토, 자다, 않다, 되어다, 같다, 압통, 백혈구, 분해효소",18개월 남아가 1일 전부터 토하고 잘 먹지 않고 처진다며 병원에 왔다. 1주일 전부터 기침과 콧물로 감기약을 복용하던 중 1일 전부터 열이 나며 구토를 했다고 한다. 구토는 비담즙성이고 식사 후 반복되어 하루에 7...
KMMLU-Pro,6,0.007771,임상실무약학,"하다, 검사, mg, dl, 수막염, 치료, 백혈구, mm, 포도당, 두다",극심한 두통과 구토 증상이 있는 54세 남자에게 세균수막염 치료를 시작하려고 한다. 수막염으로 인한 신경학적 합병증의 발생위험을 감소하기 위해 항생제 치료 전에 투여할 약물은? [활력징후] 혈압 122/78 mmHg...
KMMLU-Pro,7,0.00768,민법,"하다, 임대, 임차, 되다, 주택임대차보호법, 등기, 법인, 임대차, 갱신, 거주",임대차에 관한 다음 설명 중 가장 옳지 않은 것은? (다툼이 있는 경우 대법원 판례에 따르고 전원합의체 판결의 경우 다수의견에 의함.) 임대차기간을 2019. 3. 10.부터 2021. 3. 9.까지로 정한 주택임대...
KMMLU-Pro,8,0.007626,민사법,"하다, 이익, 되다, 근저당권, 설정, 등기, 권리, 확인, 절차, 이행",소송요건에 관한 설명 중 옳지 않은 것은? (다툼이 있는 경우 판례에 의함) 근저당권설정등기의 말소등기절차의 이행을 구하는 소송 도 중에 그 근저당권설정등기가 경매절차에서의 매각을 원인으로 하여 말소된 경우에는 더 ...
KMMLU-Pro,9,0.007389,회계학,"하다, 재료, 단위, 언급, 기업, 기간, 자료, 제시, 고려, 않다","아래 문제들에서 특별한 언급이 없는 한, 기업의 보고기간(회계기간)은 매년 1월 1일부터 12월 31일까지이다. 또한, 기업은 주권상장법인으로 계속해서 한국채택국제회계기준(K-IFRS)을 적용해오고 있다고 가정한다...."
KMMLU-Pro,10,0.007191,민사법,"하다, 수용, 등기, 되어다, 청구, 대상청구권, 매매, 이행불능, 근저당권, 옳다","대상청구권에 관한 설명 중 옳은 것(○)과 옳지 않은 것(×)을 올바르게 조합한 것은? (다툼이 있는 경우 판례에 의함) ᄀ.매매목적물의 수용으로 인하여 매도인의 소유권이전등기의무가 이행불능되었다면, 그로부터 상당한..."
KMMLU-Pro,11,0.007155,민법,"하다, 되다, 보증인, 임대, 연대채무자, 다른, 임대차, 채권자, 부진정연대채무, 상계",수인의 채권자 및 채무자에 관한 다음 설명 중 가장 옳지 않은 것은? (다툼이 있는 경우 대법원 판례에 따르고 전원합의체 판결의 경우 다수의견에 의함.) 공유물 무단 점유자에 대한 차임 상당 부당이득 반환 청구권은 ...
KMMLU-Pro,12,0.007106,회계학,"하다, 자산, 가치, 공정, 측정, 부채, 가정, 일, 되다, 시장","아래 문제들에서 특별한 언급이 없는 한, 기업의 보고기간(회계기간)은 매년 1월 1일부터 12월 31일까지이다. 또한, 기업은 주권상장법인으로 계속해서 한국채택국제회계기준(K-IFRS)을 적용해오고 있다고 가정한다...."
KMMLU-Pro,13,0.006991,회계학,"감소, 하다, 주식, 고려, 않다, 종업원, 중도, hline, 언급, 기업","아래 문제들에서 특별한 언급이 없는 한 기업의 보고기간(회계기간)은 매년 1월 1일부터 12월 31일까지이다. 자료에서 제시한 것 외의 사항은 고려하지 않고 답한다. 예를 들어, 법인세에 대한 언급이 없으면 법인세효..."
KMMLU-Pro,14,0.006881,의학각론,"dl, mg, 증후군, 급성, 변량, 소변, 진단, 혈액, 백혈구, mm",55세 여자가 3일 전부터 소변량이 줄었다고 병원에 왔다. 3일 전부터 소변량이 줄다가 1일 전부터는 소변이 거의 나오지 않았다고 한다. 5년 전에 간경화증을 진단받았고 1개월 전부터는 복통과 복수가 생겨 진통제와 ...
KMMLU-Pro,15,0.006576,의학각론,"동맥, 어지럼, 하다, 양성, 먹다, 안다, 검사, 메다, 에르, 병",41세 여자가 3시간 전 갑자기 발생한 심한 어지럼으로 응급실에 왔다. 천장이 빙빙 도는 듯한 어지럼이 자세와 상관없이 지속된다고 한다. 오른쪽 귀가 먹먹하고 귀울림과 청력저하가 있다. 6개월 전에도 비슷한 어지럼으...
