query_term,rank,similar_word,cosine_similarity
진단,3,요로감염,0.6336
진단,4,생검,0.632
진단,5,증상,0.6288
진단,6,치료,0.6284
진단,7,titer,0.6284
진단,8,뇌영상,0.6233
치료,1,환자,0.7517
치료,2,완치,0.7411
치료,3,타미플루,0.7339
치료,4,치료법,0.7308
치료,5,대체요법,0.7202
치료,6,오셀타미비르,0.7165
치료,7,항암,0.7093
치료,8,피부질환,0.7088
세액,1,과세표준,0.7985
세액,2,종합소득세,0.7796
세액,3,취득세,0.7696
세액,4,강제징수,0.7539
세액,5,공과금,0.7504
세액,6,환급,0.7494
세액,7,양도소득세,0.7492
세액,8,소득공제,0.7437
소득,1,가처분소득,0.7106
소득,2,무소득,0.6836
소득,3,불로소득,0.6675
소득,4,실수입,0.6597
소득,5,교차탄력성,0.6572
소득,6,income,0.6538
소득,7,퍼센티지,0.6499
소득,8,명목이자율,0.6426
비용,1,절감,0.7116
비용,2,지출,0.6655
비용,3,부담,0.6587
비용,4,로얄티,0.646
비용,5,간접비,0.6382
비용,6,매몰비용,0.6301
비용,7,생산비,0.6299
비용,8,금액,0.6201
자산,1,매입채무,0.6649
자산,2,투자,0.6424
자산,3,가격결정,0.6405
자산,4,상각,0.6405
자산,5,대차대조표,0.6375
자산,6,재무상태표,0.6369
자산,7,손익계산서,0.6349
자산,8,당좌,0.633
회계,1,원가회계,0.6195
회계,2,재무회계,0.6167
회계,3,복식부기,0.6061
회계,4,세무,0.59
회계,5,재무관리,0.5762
회계,6,백데이팅,0.5732
회계,7,회계감사,0.5689
회계,8,정부회계,0.5689
세무,1,원가회계,0.6075
세무,2,재무회계,0.5945
세무,3,회계,0.59
세무,4,웅지세무대,0.5766
세무,5,재무관리,0.5727
세무,6,경영정보,0.5663
세무,7,영남외국어대,0.5633
세무,8,에이비스,0.5577
기계,1,cnc,0.644
기계,2,기계로,0.6391
기계,3,제어공학,0.629
기계,4,automaton,0.599
기계,5,튜링,0.5977
기계,6,nondeterministic,0.5975
기계,7,비결정론,0.5933
기계,8,오토마톤,0.5905
의료,1,병원,0.6764
의료,2,보건,0.6625
의료,3,진료,0.6556
의료,4,칠곡경북대학교병원,0.6301
의료,5,직업병,0.6261
의료,6,치료,0.624
의료,7,어린이병원,0.6217
의료,8,의료법,0.6183
회사,1,주식회사,0.7361
회사,2,기업,0.7186
회사,3,업체,0.7169
회사,4,자회사,0.7159
회사,5,공개회사,0.6879
회사,6,주주,0.6806
회사,7,skg,0.6664
회사,8,gdh,0.6633
기간,1,동안,0.7806
기간,2,개월,0.7122
기간,3,zivildienst,0.6443
기간,4,시기,0.6412
기간,5,장기간,0.6245
기간,6,금육,0.6174
기간,7,내내,0.6101
기간,8,지속,0.6082
보험,1,보험료,0.6707
보험,2,생명보험,0.6566
보험,3,업법,0.6533
보험,4,보험사,0.6421
보험,5,럭키화재,0.6255
보험,6,손해,0.6243
보험,7,해상법,0.6187
보험,8,코리안리,0.6165
등기,1,보존등기,0.6805
등기,2,소유권보존등기,0.6798
등기,3,말소등기,0.6693
등기,4,등기청구권,0.6546
등기,5,명의신탁,0.6344
등기,6,근저당권,0.6256
등기,7,가등기,0.6214
등기,8,파산관재인,0.621
대하,1,추이관계,0.7165
대하,2,군층,0.7114
대하,3,체일,0.7027
대하,4,임의,0.7
대하,5,축소환,0.6956
대하,6,곱위상,0.686
대하,7,만약,0.6821
대하,8,무한집합,0.6808
지급,1,지연손해금,0.7092
지급,2,가집행,0.6782
지급,3,착수금,0.6754
지급,4,출금,0.6721
지급,5,지불,0.6719
지급,6,공과금,0.6713
지급,7,성과급,0.6695
지급,8,정기예금,0.6691
청구,1,손해배상,0.7536
청구,2,말소등기,0.7252
청구,3,소송,0.725
청구,4,간접강제,0.6804
청구,5,항고심,0.6751
청구,6,증거보전,0.6749
청구,7,행정법원,0.6687
청구,8,전보배상,0.6667
취소,1,예정,0.6449
취소,2,거부처분,0.6206
취소,3,보류,0.6054
취소,4,철회,0.6049
취소,5,말소,0.5835
취소,6,중단,0.5777
취소,7,가처분,0.5762
취소,8,원상회복,0.5732
기업,1,업체,0.7437
기업,2,회사,0.7186
기업,3,대기업,0.6989
기업,4,철강생산업체,0.6986
기업,5,다국적,0.6965
기업,6,군수산업체,0.6819
기업,7,팹리스,0.6544
기업,8,레드우드시티,0.653
토지,1,농지,0.7217
토지,2,왕토,0.682
토지,3,정착물,0.6614
토지,4,겸병,0.6612
토지,5,재산,0.6364
토지,6,농토,0.6349
토지,7,경작지,0.6348
토지,8,임야,0.6192
사용,1,쓰이다,0.7493
사용,2,이용,0.6888
사용,3,활용,0.6534
사용,4,용도,0.634
사용,5,htx,0.6313
사용,6,허큘레스,0.6289
사용,7,비디오카드,0.622
사용,8,팬톤,0.6095
발생,1,일어나다,0.7298
발생,2,원인,0.6645
발생,3,노심용융,0.6591
발생,4,일어난다,0.6548
발생,5,일어나며,0.6501
발생,6,일어나고,0.6471
발생,7,굉관,0.6443
발생,8,천재지변,0.6361
결정,1,판단,0.6433
결정,2,사인인,0.6146
결정,3,증거조사,0.6101
결정,4,프랭켄,0.61
결정,5,확정,0.6083
결정,6,최종,0.6047
결정,7,불허가,0.603
결정,8,변론기일,0.6011
신청,1,신청서,0.6843
신청,2,가처분,0.673
신청,3,증거보전,0.6209
신청,4,청구,0.6102
신청,5,불허가,0.6074
신청,6,본안,0.604
신청,7,거부처분,0.6032
신청,8,파산보호,0.5911
채무자,1,채권자,0.8331
채무자,2,연대보증,0.7475
채무자,3,채권,0.7428
채무자,4,금전채권,0.7422
채무자,5,채권양도,0.736
채무자,6,물상보증인,0.7329
채무자,7,담보,0.7329
채무자,8,채권자취소권,0.7273
제기,1,의혹,0.694
제기,2,논란,0.6818
제기,3,주장,0.6581
제기,4,의문,0.6442
제기,5,재론,0.6404
제기,6,소송도,0.6404
제기,7,반연,0.636
제기,8,손배,0.6259
법원,1,대법원,0.7573
법원,2,판결,0.7538
법원,3,항소,0.738
법원,4,특허법원,0.7284
법원,5,고등법원,0.7111
법원,6,지방법원,0.7019
법원,7,민사소송,0.6981
법원,8,헌법재판소,0.6927
금액,1,차액,0.7314
금액,2,이자지,0.7159
금액,3,만기일,0.698
금액,4,액수,0.6977
금액,5,충당금,0.694
금액,6,공과금,0.6905
금액,7,원리금,0.6884
금액,8,잔금,0.6869
합병,1,jals,0.6467
합병,2,일본항공인터내셔널,0.6228
합병,3,동진서비스,0.6073
합병,4,편입,0.6048
합병,5,흡수,0.6047
합병,6,상장폐지,0.6044
합병,7,leyland,0.6018
합병,8,에어재팬,0.5959
담보,1,채무자,0.7329
담보,2,가등기,0.7077
담보,3,근저당권,0.707
담보,4,담보물권,0.6986
담보,5,저당권,0.6981
담보,6,연대보증,0.6904
담보,7,변제,0.6875
담보,8,물상대위,0.6858
채권자,1,채무자,0.8331
채권자,2,채권자취소권,0.7297
채권자,3,물상보증인,0.7291
채권자,4,등기청구권,0.729
채권자,5,연대보증,0.7244
채권자,6,사해행위,0.715
채권자,7,연대채무자,0.7119
채권자,8,채권양도,0.707
피,1,흘리다,0.5555
피,2,규어,0.5184
피,3,골든슈,0.5069
피,4,메누,0.4939
피,5,무터,0.4925
피,6,식완,0.4906
피,7,뻘뻘,0.4892
피,8,범벅,0.4847
판결,1,유죄,0.7736
판결,2,대법원,0.76
판결,3,항소,0.7544
판결,4,법원,0.7538
판결,5,재판,0.7537
판결,6,무죄,0.7511
판결,7,항고심,0.747
판결,8,선고,0.7464
이상,1,정도,0.6756
이상,2,이하,0.6738
이상,3,미만,0.6714
이상,4,최소,0.6636
이상,5,최소한,0.6436
이상,6,넘다,0.6411
이상,7,이상인,0.6356
이상,8,과락,0.6163
건물,1,옥탑,0.7483
건물,2,울워스,0.689
건물,3,아르데코,0.6783
건물,4,건축,0.6715
건물,5,철근콘크리트,0.6646
건물,6,개층,0.6629
건물,7,궁역,0.6627
건물,8,철골,0.6627
디자인,1,쥬지아로,0.6617
디자인,2,설계,0.6611
디자인,3,디자이너,0.6548
디자인,4,제품디자인,0.6506
디자인,5,플래닝,0.6094
디자인,6,랙션,0.6076
디자인,7,아트웍,0.6068
디자인,8,design,0.6067
판례,1,불법행위법,0.7028
판례,2,적법절차원리,0.6906
판례,3,윌비스,0.6898
판례,4,판례법,0.6834
판례,5,정회철,0.6817
판례,6,민사소송법,0.6704
판례,7,소송요건,0.6624
판례,8,주요사실,0.6607
계속,1,지속,0.7707
계속,2,꾸준하다,0.6916
계속,3,끊임없다,0.6812
계속,4,동안,0.6768
계속,5,한편,0.6748
계속,6,다시,0.6744
계속,7,마침내,0.6726
계속,8,시작,0.6713
다툼,1,다투다,0.6502
다툼,2,싸움,0.6473
다툼,3,알력,0.6458
다툼,4,대립,0.6383
다툼,5,내분,0.6379
다툼,6,갈등,0.6289
다툼,7,쟁탈전,0.6281
다툼,8,권력투쟁,0.6252
사업,1,사업인,0.6818
사업,2,통일벼,0.6184
사업,3,도시재생,0.6172
사업,4,회사,0.6048
사업,5,영업직,0.6046
사업,6,제철설비,0.604
사업,7,루쎄,0.6009
사업,8,kpx,0.6003
주식,1,무상증자,0.684
주식,2,주주,0.66
주식,3,공개매수,0.6539
주식,4,전환주식,0.6483
주식,5,공사채,0.6456
주식,6,tob,0.638
주식,7,kosdaq,0.6369
주식,8,투자,0.6342
효력,1,법정해제,0.7018
효력,2,시효중단,0.6948
효력,3,항고소송,0.6913
효력,4,소급효,0.6883
효력,5,계약해제,0.6871
효력,6,형성권,0.6851
효력,7,흠결,0.679
효력,8,준소비대차,0.6766
채무,1,변제,0.7161
채무,2,연대보증,0.6903
채무,3,보증계약,0.6779
채무,4,채권,0.6735
채무,5,이행지체,0.6729
채무,6,채무자,0.6702
채무,7,채권자,0.6691
채무,8,차금,0.6629
채권,1,채무자,0.7428
채권,2,금전채권,0.7303
채권,3,추심,0.7208
채권,4,외화채권,0.7086
채권,5,채권자,0.7036
채권,6,채권자취소권,0.7011
채권,7,저당권,0.6941
채권,8,환어음,0.6874
처분,1,징계처분,0.6969
처분,2,징계,0.6953
처분,3,기소유예,0.6682
처분,4,간접강제,0.6636
처분,5,조치,0.6636
처분,6,항고심,0.6604
처분,7,보호처분,0.6551
처분,8,가집행,0.6545
사정,1,질외,0.6531
사정,2,이유,0.5667
사정,3,허위표시,0.5576
사정,4,필요비,0.5424
사정,5,강행규정,0.5407
사정,6,수령지체,0.5387
사정,7,말소,0.5385
사정,8,수급인,0.533
절차,1,중재절차,0.6723
절차,2,말소등기,0.6717
절차,3,행정절차,0.6684
절차,4,강제집행,0.652
절차,5,행정심판,0.6465
절차,6,사인인,0.6432
절차,7,거부처분,0.6372
절차,8,변론기일,0.6369
공탁,1,법정이율,0.7395
공탁,2,추심명령,0.7368
공탁,3,유신고,0.7352
공탁,4,가집행,0.7207
공탁,5,가압류,0.7061
공탁,6,근저당권,0.7024
공탁,7,지연손해금,0.6918
공탁,8,가집행선고,0.6887
확정,1,최종,0.6408
확정,2,결정,0.6083
확정,3,증거조사,0.6048
확정,4,초읍선,0.5926
확정,5,낙태죄,0.5774
확정,6,소송요건,0.5773
확정,7,종국판결,0.5769
확정,8,심리불속행,0.5745
적용,1,폴딩도어,0.6258
적용,2,강행규정,0.6194
적용,3,기본,0.6185
적용,4,법이므,0.6179
적용,5,vq,0.6122
적용,6,자동차관리법,0.6058
적용,7,자동차세,0.6055
적용,8,등록세,0.6055
목적,1,목표,0.6745
목적,2,위해,0.6651
목적,3,용도,0.6104
목적,4,의도,0.6037
목적,5,물권행위,0.6023
목적,6,출연재산,0.5963
목적,7,개인기업,0.5946
목적,8,불가결,0.5934
소송,1,패소,0.7806
소송,2,승소,0.7595
소송,3,의장권,0.7348
소송,4,청구,0.725
소송,5,손해배상,0.7244
소송,6,손배,0.7036
소송,7,소송도,0.6925
소송,8,본안,0.6781
발행,1,격주간,0.6794
발행,2,액면,0.6523
발행,3,견양,0.6253
발행,4,액면금액,0.6241
발행,5,한성주보,0.6195
발행,6,창간,0.6188
발행,7,무료신문,0.6148
발행,8,교초,0.6141
이행,1,항변권,0.6773
이행,2,물권행위,0.6607
이행,3,보증계약,0.6276
이행,4,전보배상,0.6223
이행,5,무상계약,0.6219
이행,6,준소비대차,0.6207
이행,7,준계약,0.6101
이행,8,유상계약,0.6055
이전,1,기존,0.6538
이전,2,지금,0.6427
이전,3,현재,0.6328
이전,4,기점,0.6161
이전,5,삽교방조제,0.6041
이전,6,당시,0.6026
이전,7,이후,0.6016
이전,8,신공덕역,0.601
고려,1,태조,0.6247
고려,2,충렬왕,0.6241
고려,3,후삼국,0.623
고려,4,원나라,0.6188
고려,5,고려시대,0.6135
고려,6,장길,0.6113
고려,7,개경,0.609
고려,8,후백제,0.6089
압력,1,증기압,0.6383
압력,2,nbar,0.6264
압력,3,표준상태,0.6221
압력,4,분압,0.6151
압력,5,뒤채,0.6149
압력,6,단열과정,0.6096
압력,7,대기압,0.6093
압력,8,등온,0.609
방식,1,방법,0.7064
방식,2,회전노리쇠,0.6681
방식,3,covo,0.6237
방식,4,가스작동식,0.6224
방식,5,vsb,0.6217
방식,6,가스피스톤,0.6194
방식,7,풍량,0.6105
방식,8,형태,0.6104
물,1,물이,0.7906
물,2,물의,0.675
물,3,여과액,0.6407
물,4,핏물,0.6342
물,5,고두밥,0.6208
물,6,휘저,0.6163
물,7,센물,0.6157
물,8,황치령,0.6134
가스,1,가스나,0.6627
가스,2,봄베,0.5838
가스,3,프레온,0.5714
가스,4,석탄가스,0.5684
가스,5,고온가스로,0.5616
가스,6,허파꽈리,0.5583
가스,7,최루,0.5582
가스,8,브래이,0.5566
시설,1,위락시설,0.7001
시설,2,위락,0.696
시설,3,설비,0.6554
시설,4,오송고,0.6546
시설,5,짐볼스,0.6536
시설,6,주차공간,0.6456
시설,7,휴게,0.6428
시설,8,농구장,0.6428
약,1,가량,0.7972
약,2,대략,0.7711
약,3,정도,0.7142
약,4,백만,0.6874
약,5,절반,0.6792
약,6,수백,0.6564
약,7,수천,0.6397
약,8,넘다,0.6389
검사,1,지청장,0.6501
검사,2,정진웅,0.6483
검사,3,tpha,0.6286
검사,4,대검찰청,0.6268
검사,5,재검사,0.6146
검사,6,최재경,0.6141
검사,7,지방검찰청,0.6086
검사,8,춘천지방검찰청,0.5907
증가,1,감소,0.9383
증가,2,줄어들다,0.7881
증가,3,늘어나다,0.7836
증가,4,상승,0.7262
증가,5,급증,0.7062
증가,6,증대,0.7039
증가,7,급격하다,0.6944
증가,8,노령화,0.6743
가공,1,널링,0.6104
가공,2,니드런,0.5875
가공,3,쥐포,0.5504
가공,4,어분,0.5296
가공,5,치즈인더트랩,0.5195
가공,6,배합사료,0.5182
가공,7,슈퍼빌런,0.5181
가공,8,로렛,0.5148
장소,1,외빈,0.5704
장소,2,콘서트장,0.5451
장소,3,보톰,0.5339
장소,4,널문리,0.5309
장소,5,야외,0.5303
장소,6,화이트홀,0.5159
장소,7,광릉숲,0.5154
장소,8,금천역,0.5133
흡수,1,합병,0.6047
흡수,2,jals,0.568
흡수,3,ssri,0.5622
흡수,4,간초,0.5556
흡수,5,핵변환,0.5429
흡수,6,융털,0.5405
흡수,7,포제가,0.5399
흡수,8,애블레이터,0.531
속도,1,빠르다,0.7538
속도,2,속력,0.7497
속도,3,빨르다,0.7274
속도,4,gbps,0.7078
속도,5,이동속도,0.6971
속도,6,mph,0.6933
속도,7,평균속도,0.6924
속도,8,시속,0.6889
전류,1,전압,0.8145
전류,2,기전력,0.7549
전류,3,전류밀도,0.7293
전류,4,전기장,0.7067
전류,5,정현파,0.7033
전류,6,vout,0.7029
전류,7,전위차,0.696
전류,8,드레인,0.696
금속,1,비금속,0.7299
금속,2,가단성,0.7075
금속,3,백금족,0.7001
금속,4,알루미늄,0.6943
금속,5,내식성,0.6843
금속,6,금속결합,0.6776
금속,7,비결정질,0.6771
금속,8,착화합물,0.675
기준,1,통계표,0.646
기준,2,실률,0.6417
기준,3,국민총소득,0.6373
기준,4,eurostat,0.6199
기준,5,내규,0.6109
기준,6,송료,0.608
기준,7,자동차세,0.6071
기준,8,무역의존도,0.6026
감소,1,증가,0.9383
감소,2,줄어들다,0.7957
감소,3,늘어나다,0.7085
감소,4,상승,0.7058
감소,5,급격하다,0.6829
감소,6,증대,0.6811
감소,7,현격히,0.6748
감소,8,낮아지다,0.6714
연료,1,cryogenic,0.7323
연료,2,액체산소,0.7049
연료,3,oxidizer,0.7019
연료,4,fuel,0.7013
연료,5,갤론,0.6973
연료,6,propellant,0.6954
연료,7,추진제,0.6874
연료,8,제트엔진,0.6826
이용,1,활용,0.7077
이용,2,사용,0.6888
이용,3,가능하다,0.6347
이용,4,핸드오프,0.6121
이용,5,윈엠프,0.6095
이용,6,캐시비카드,0.6048
이용,7,언더런,0.5958
이용,8,발광다이오드,0.5948
위치,1,중심부,0.59
위치,2,횡단한다,0.5872
위치,3,만오원,0.5833
위치,4,웨와크,0.5772
위치,5,성당못역,0.577
위치,6,남동쪽,0.5752
위치,7,간토평야,0.5736
위치,8,북동쪽,0.5729
설치,1,설치다,0.6759
설치,2,신설,0.6215
설치,3,읍면동,0.5756
설치,4,휘경,0.5731
설치,5,인석,0.5713
설치,6,죽전네거리,0.5641
설치,7,해무청,0.5619
설치,8,박선이,0.5607
표시,1,나타내다,0.6591
표시,2,등류,0.6537
표시,3,이탤릭,0.6496
표시,4,미니맵,0.6263
표시,5,색표,0.6249
표시,6,서브픽셀,0.6232
표시,7,리디렉션,0.6167
표시,8,횡좌표,0.6144
차,1,세계대전,0.622
차,2,대전,0.5688
차,3,차장차,0.518
차,4,트우,0.5043
차,5,종전,0.5019
차,6,한중간,0.4947
차,7,스베누,0.4926
차,8,도쿄대공습,0.4919
제어,1,정속운전,0.6738
제어,2,tims,0.6468
제어,3,마이크로프로그램,0.6442
제어,4,개폐기,0.6426
제어,5,traction,0.6379
제어,6,thyristor,0.6353
제어,7,제어기,0.6347
제어,8,ncq,0.6326
거리,1,구사이,0.6041
거리,2,삼변측량,0.5853
거리,3,순간속도,0.5832
거리,4,창광,0.5769
거리,5,정폭도형,0.575
거리,6,삼각측량법,0.574
거리,7,공전속도,0.5725
거리,8,횡좌표,0.568
장치,1,tims,0.7005
장치,2,파워서플라이,0.6967
장치,3,트랜시버,0.6928
장치,4,등류,0.6881
장치,5,액추에이터,0.6795
장치,6,nvram,0.6751
장치,7,개폐기,0.6746
장치,8,covo,0.6698
누설,1,cdot,0.5444
누설,2,탐상,0.4902
누설,3,봉졸,0.4881
누설,4,발각,0.4843
누설,5,탄로,0.4831
누설,6,역률,0.4822
누설,7,누전,0.4799
누설,8,강달선,0.4775
배출,1,온실가스,0.5327
배출,2,배출량,0.5245
배출,3,용존,0.5181
배출,4,노폐물,0.5003
배출,5,이산화탄소,0.4951
배출,6,수득,0.489
배출,7,기가톤,0.487
배출,8,온실기체,0.4788
방법,1,방식,0.7064
방법,2,밀도범함수이론,0.6626
방법,3,패턴인식,0.6375
방법,4,법등,0.6275
방법,5,삼등분가,0.6236
방법,6,점추정,0.622
방법,7,분자동력학,0.6209
방법,8,invmixcolumns,0.62
표면,1,람버트,0.7132
표면,2,열방사,0.7089
표면,3,애블레이터,0.7025
표면,4,자기다발,0.6917
표면,5,알페인파,0.6794
표면,6,캐비티,0.6792
표면,7,맨틀대류,0.6723
표면,8,조석고정,0.6715
온도,1,증기압,0.7574
온도,2,이슬점,0.755
온도,3,섭씨,0.7529
온도,4,유리전이,0.7485
온도,5,대기압,0.7444
온도,6,표준상태,0.7262
온도,7,임계온도,0.7169
온도,8,감률,0.716
위성,1,인공위성,0.678
위성,2,kompsat,0.6639
위성,3,탐사선,0.6636
위성,4,조석고정,0.6606
위성,5,명왕성,0.6559
위성,6,목성,0.6513
위성,7,자연위성,0.6498
위성,8,엔셀라두스,0.6474
방향,1,축의,0.6808
방향,2,엘러본,0.6458
방향,3,자북극,0.6394
방향,4,평행,0.6304
방향,5,반대쪽,0.6209
방향,6,동북동,0.6204
방향,7,심블,0.6173
방향,8,좌회전,0.6163
시스템,1,xfs,0.7107
시스템,2,저널링,0.71
시스템,3,트랜잭셔널,0.706
시스템,4,zfs,0.701
시스템,5,hdfs,0.6975
시스템,6,ntds,0.6942
시스템,7,허니팟,0.6935
시스템,8,vfat,0.6925
저장,1,dblspace,0.6692
저장,2,nvram,0.6558
저장,3,multilib,0.6518
저장,4,저장장치,0.6333
저장,5,pushd,0.6332
저장,6,출력장치,0.6324
저장,7,언더런,0.6292
저장,8,주기억장치,0.6276
펌프,1,pump,0.7085
펌프,2,원심펌프,0.6318
펌프,3,임펠러,0.6065
펌프,4,pumped,0.603
펌프,5,centrifugal,0.5709
펌프,6,크랭크축,0.5559
펌프,7,압착기,0.5557
펌프,8,터빈,0.5556
지역,1,부지역,0.6875
지역,2,지방,0.6857
지역,3,일대,0.6536
지역,4,북부,0.6402
지역,5,안티구아,0.6317
지역,6,남부,0.6205
지역,7,게이힌,0.6094
지역,8,pohjanmaan,0.6076
할당,1,힙영역,0.6443
할당,2,hmamin,0.6424
할당,3,numhandles,0.632
할당,4,hma,0.6145
할당,5,프리픽스,0.5997
할당,6,멀티프로그래밍,0.5986
할당,7,quota,0.5963
할당,8,페이징,0.5959
코일,1,전자석,0.6651
코일,2,콘덴서,0.6507
코일,3,전류,0.646
코일,4,기전력,0.6418
코일,5,인덕터,0.6409
코일,6,인덕턴스,0.6342
코일,7,캐소드,0.6195
코일,8,저항기,0.604
시험,1,공직적격성평가,0.6883
시험,2,psat,0.6797
시험,3,자격시험,0.6789
시험,4,응시,0.6618
시험,5,외무고등고시,0.6589
시험,6,nclex,0.6555
시험,7,전미사법시험,0.6454
시험,8,exam,0.6417
공간,1,에탈레,0.7231
공간,2,반노름,0.7126
공간,3,거리화,0.7094
공간,4,가측,0.7074
공간,5,banach,0.705
공간,6,곱공간,0.6973
공간,7,몫공간,0.697
공간,8,힐버트,0.6952
일,1,일이,0.6968
일,2,아니다,0.6093
일,3,아르첼리,0.6006
일,4,생각,0.5929
일,5,고용기간,0.5889
일,6,그렇다,0.5775
일,7,단견,0.5755
일,8,하스코,0.5714
농도,1,심박출량,0.7259
농도,2,중탄산염,0.7219
농도,3,혈중,0.7204
농도,4,산혈증,0.719
농도,5,아보가드로수,0.718
농도,6,암모늄이온,0.7134
농도,7,용해도,0.7109
농도,8,테아닌,0.7052
설계,1,monocoque,0.6796
설계,2,디자인,0.6611
설계,3,내력벽,0.6579
설계,4,설계자,0.6395
설계,5,idd,0.636
설계,6,렘젯,0.6341
설계,7,경년,0.6339
설계,8,dfr,0.6323
고압,1,저압,0.6342
고압,2,방열기,0.6086
고압,3,발열반응,0.5971
고압,4,애드벌룬,0.5955
고압,5,고온,0.5943
고압,6,가압중수로,0.5915
고압,7,가열,0.5907
고압,8,초임계유체,0.5904
